Date,AA,AAWW,ABG,ACH,ACLS,ACM,ADC,ADM,ADUS,AEE,AEG,AEIS,AEP,AER,AGYS,BAC,CCM,CENT,ERII,ETN,HTH,IDA,IEP,IMOS,INDB,INFI,MT,NBR,NBTB,NC,REG,RELL,SRT,STC,TNK,Total
10/15/2021,2214.17673,3914.905136,3262.175172,2308.44755,3966.161447,2428.143,3409.609499,3106.475094,1063.541073,3178.541249,2628.894794,2452.246599,3107.449123,3449.772274,2054.772187,1921.085677,2127.657716,3017.590227,1576.913684,3981.34705,2411.088847,3323.309685,2520.141631,5088.058444,3226.060527,2842.758423,2100.832871,2065.310294,3266.762379,5639.198288,3594.600935,4201.369643,1755.506418,2800.865595,4262.005143,104267.7744
10/22/2021,2191.654089,3920.773606,3148.327448,2154.491126,3778.191711,2476.440515,3295.176333,3108.333737,910.3190536,3141.198413,2608.515998,2527.943918,3133.555236,3493.268221,1823.832373,1949.835131,2104.499373,2927.512906,1467.18,3979.991204,2430.377158,3367.91177,2520.857927,5088.058444,3086.875816,2674.973356,1962.874641,2217.122651,3225.522622,5372.970169,3561.815637,4272.179175,1478.321194,2708.783298,4167.834737,102277.519
10/29/2021,2356.244128,4412.245759,3465.787448,2260.112334,4812.025263,2599.552433,3654.08124,2932.70552,1021.480126,3264.210158,2718.563035,2323.736735,3165.55603,3569.386127,1791.263938,2051.300885,2069.76241,3062.628887,1487.501053,4214.560829,2478.59872,3368.822377,2601.782958,5244.613407,3522.34561,3116.008389,2148.63372,2367.844009,3459.704157,6107.547748,3672.780597,4268.244813,1485.428507,2703.667704,4352.685406,108131.4125
11/5/2021,2398.060303,4378.502679,3478.923724,2231.469383,5131.573816,2642.168083,3537.047752,2850.932664,1156.676025,3215.884086,2579.985428,2121.289946,3077.133032,3765.117888,1693.558632,2091.88778,2200.027123,3003.515645,1532.207368,4280.498649,2461.72099,3353.55839,2586.743,5127.197184,3485.137878,3211.88557,2156.499638,2443.203988,3419.938253,5597.363935,3621.502276,4185.561458,1499.643134,2834.11871,4398.025574,107748.56
11/12/2021,2323.392703,4227.3935,3509.575253,2109.736436,4943.604079,2571.142064,3556.552251,2768.228784,1264.832744,3232.359192,2608.515998,2070.23815,3074.220379,3710.747954,1572.167192,1978.584189,2046.604067,2879.65933,1471.244211,4356.002741,2406.265592,3305.834223,2558.096906,5596.862075,3432.770781,3144.771544,2065.738325,2432.281818,3356.606469,5324.613218,3454.213232,4228.913545,1499.643134,2703.667704,4213.177376,105998.2572
11/19/2021,2311.23781,4107.826339,3535.847586,2061.401579,4887.213158,2496.32804,3704.797716,2753.101903,1237.793565,3189.523982,2412.87725,2075.519333,3070.809821,3656.378021,1509.991088,1907.556976,2171.07892,2502.460552,1418.409474,4462.436763,2401.443645,3340.709659,2560.371945,5753.418741,3412.100655,3288.587315,1934.436001,2412.622756,3343.34989,5307.226142,3541.10132,4299.854446,1520.965075,2742.036096,4351.542765,105682.3563
11/26/2021,2446.682358,4052.077414,3667.210345,2090.939662,4624.055526,2575.877189,3652.781776,2812.87066,1207.750032,3209.294479,2429.1808,2152.977224,3075.925527,3621.037564,1447.814984,1975.201668,2211.606294,2606.612453,1483.436842,4537.029297,2401.443645,3412.297513,2457.95742,5714.278298,3562.309824,3053.688221,2080.827115,2526.209703,3409.627888,5350.150364,3548.750554,4351.090415,1584.930896,2734.36159,4297.909437,106366.195
12/3/2021,2457.100638,4349.894603,3730.702564,2042.604356,5977.437632,2648.797068,3605.967174,2842.754912,1159.680379,3109.347111,2502.545491,2191.706081,3015.396091,3775.991874,1509.991088,2141.193267,2171.07892,2640.391448,1601.298947,4519.746114,2427.965007,3428.816998,2430.551101,5714.278298,3684.958213,2775.644396,2169.049419,2472.692506,3490.858034,5714.705196,3513.9009,4386.561427,1513.857761,2839.234623,4372.996358,108929.696
12/10/2021,2510.931833,4179.7133,3730.702564,2005.010539,6466.158947,2689.518667,3414.81107,2834.349954,1357.967697,3155.299401,2474.014279,2255.080816,3073.368333,3778.710371,1717.244767,2119.189105,2127.657716,2727.653852,1511.886316,4589.336571,2396.622483,3446.253242,2431.272525,5949.112445,3766.262496,2919.460168,2298.644284,2399.516869,3615.692491,6271.369234,3417.8512,4433.857981,1830.133209,2972.243904,4244.273129,111111.1718
12/17/2021,2663.740957,4224.459265,3954.018816,2039.024189,6616.534737,2656.373077,3511.19833,2821.275239,1243.802271,3148.621983,2457.711371,2445.204844,3062.285403,3767.836384,1797.185472,2210.592225,2171.07892,2812.10134,1483.436842,4615.261031,2401.443645,3442.583257,2462.285144,5753.418741,3778.666664,3077.657517,2265.181119,2490.167384,3649.872025,6298.685359,3499.45066,4630.915729,1972.279478,3096.115129,4383.724317,112904.1889
